Device,Vendor,OS,Model,"OS Version","Local AS",NeighborIP,State,NeighborName,"Remote AS",VRF,Route-Distinguisher,PW?,Description,"Address Family","Max Prefixes","Max Prefix Action"
INTERNET,Cisco,ASA,unknown,unknown,64860,213.248.69.93,,213.248.69.93,,default,,No,,N/A,N/A,N/A
itmilso2rtr001,Cisco,XE,ISR4451-X/K9,15.5(3)S5,64800,10.0.4.2,shutdown,sesthcc3gpr001,64800,default,,Yes,"%% sesthcc3gpr001 via DMVPN",N/A,N/A,N/A
itmilso2rtr001,Cisco,XE,ISR4451-X/K9,15.5(3)S5,64800,10.0.0.2,TCP-ESTAB,sesthcc3gpr001,64800,default,,Yes,"%% sesthcc3gpr001 via VPLS",N/A,N/A,N/A
itmilso2rtr001,Cisco,XE,ISR4451-X/K9,15.5(3)S5,64800,10.0.0.1,TCP-ESTAB,sesthcc4gpr001,64800,default,,Yes,"%% sesthcc1gpr001 via VPLS",N/A,N/A,N/A
itmilso2rtr001,Cisco,XE,ISR4451-X/K9,15.5(3)S5,64800,10.0.4.1,shutdown,sesthcc4gpr001,64800,default,,Yes,"%% sesthcc1gpr001 via DMVPN",N/A,N/A,N/A
itmilso2rtr001,Cisco,XE,ISR4451-X/K9,15.5(3)S5,64800,192.0.2.2,TCP-ESTAB,"usatldc1rtr001 (or) jptokso1rtr001 (or) uschicc1rtr001 (or) tristdc1rtr001 (or) mxmexdc1rtr001 (or) cnguzao1rtr001 (or) rsbeldc1rtr001 (or) gblonho1rtr001 (or) bddhacc1rtr001 (or) beghldc1rtr001 (or) ausyddc1rtr001 (or) frpardc1rtr001 (or) uymondc1rtr001 (or) bgsofdc1rtr001 (or) plwardc1rtr001 (or) nlmstmo1rtr002 (or) atviedc1rtr001 (or) chneudc1rtr001 (or) cabradc1rtr001 (or) indeldc1rtr001 (or) pelimso1rtr001 (or) plwarao2rtr001 (or) phmanso1rtr001 (or) rumosdc1rtr001 (or) plpozdc1rtr001 (or) catorso1rtr001 (or) grathso1rtr001 (or) plwarcc1rtr001 (or) cnshadc1rtr001 (or) ausydso1rtr001 (or) rumosso1rtr001 (or) gblondc1rtr001 (or) plwarso1rtr001 (or) tristso1rtr001 (or) cnshacc2ipt001 (or) dkgredc1rtr001 (or) dkcphso1rtr001 (or) gbrugdc1rtr001 (or) mmyanpo1rtr001 (or) itmilso2rtr002 (or) gbmikdc1rtr001 (or) dealldc1rtr101 (or) chzrhso1rtr001 (or) indeldc2rtr001 (or) sebormo1rtr001 (or) esmaddc1rtr001 (or) nzakldc1rtr001 (or) krseoso1rtr001 (or) vnsgndc1rtr001 (or) cnbeiso1rtr001 (or) cnhkgdc1rtr001 (or) clsanso1rtr001 (or) indelso1rtr001 (or) tristpo1rtr001 (or) gbedimo1rtr001 (or) pelimdc1rtr001 (or) ussecso1rtr001 (or) denurmo1rtr001 (or) hrzagdc1rtr001 (or) sgsinao1rtr001 (or) usloadc1rtr001 (or) phmandc1rtr001 (or) esbarmo1rtr001 (or) gbwinco1rtr001 (or) clsandc1rtr001 (or) noosldc1rtr001 (or) twtpeso1rtr001 (or) cobogdc1rtr001 (or) mxmexso1rtr001 (or) robucao1rtr001 (or) dehamso1rtr001 (or) krseodc1rtr001 (or) twtpedc1rtr001",64800,lan,,No,,"ipv4 unicast",,
itmilso2rtr001,Cisco,XE,ISR4451-X/K9,15.5(3)S5,64800,10.20.15.111,TCP-ESTAB,itmilso2rtr002,64800,MGMT,,No,,"ipv4 unicast",,
itmilso2rtr001,Cisco,XE,ISR4451-X/K9,15.5(3)S5,64800,192.0.2.1,TCP-ESTAB,"krseodc1rtr002 (or) dkgredc1rtr002 (or) mxmexso1rtr002 (or) ausydso1rtr002 (or) uschicc1rtr002 (or) sebormo1rtr002 (or) itsomco1rtr002 (or) dkcphso1rtr002 (or) tristdc1rtr002 (or) gblonho1rtr002 (or) catorso1rtr002 (or) phmanso1rtr002 (or) gbwinco1rtr002 (or) hrzagdc1rtr002 (or) cnhkgdc1rtr002 (or) uymondc1rtr002 (or) esbarmo1rtr002 (or) mxmexdc1rtr002 (or) chneudc1rtr002 (or) plwarso1rtr002 (or) plwarao2rtr002 (or) cnguzao1rtr002 (or) indeldc1rtr002 (or) clsanso1rtr002 (or) seeskdc1rtr002 (or) cnshadc1rtr002 (or) twtpedc1rtr002 (or) usatldc1rtr002 (or) cnbeiso1rtr002 (or) cnshadc3rtr002 (or) gbedimo1rtr002 (or) dealldc1rtr201 (or) cabradc1rtr002 (or) pelimdc1rtr002 (or) tristpo1rtr002 (or) plpozdc1rtr002 (or) gbrugdc1rtr002 (or) denurmo1rtr002 (or) itmilso2rtr002 (or) grathso1rtr002 (or) sgsinao1rtr002 (or) usloadc1rtr002 (or) mmyanpo1rtr002 (or) esmaddc1rtr002 (or) pelimso1rtr002 (or) krseoso1rtr002 (or) dehamso1rtr002 (or) fikerdc1rtr002 (or) nlmstmo1rtr003 (or) gbmikdc1rtr002 (or) itmilso2rtr001 (or) tristso1rtr002 (or) rotimco1rtr002 (or) nzakldc1rtr002 (or) plwardc1rtr002 (or) frpardc1rtr002 (or) noosldc1rtr002 (or) ausyddc1rtr002 (or) phmandc1rtr002 (or) bddhapo1rtr001 (or) rumosso1rtr002 (or) plwarcc1rtr002 (or) clsandc1rtr002 (or) beghldc1rtr002 (or) indeldc2rtr002 (or) sesthho7rtr001 (or) rumosdc1rtr002 (or) sesthit1gpoprtr002 (or) cobogdc1rtr002 (or) jptokso1rtr002 (or) atviedc1rtr002 (or) bgsofdc1rtr002 (or) robucao1rtr002 (or) gbwemdc1rtr002",64800,STH-CLIENT,,No,,"ipv4 unicast",,
PARTNER-ACCESS,Cisco,ASA,unknown,unknown,64860,10.0.207.29,,10.0.207.29,,default,,No,,N/A,N/A,N/A
PARTNER-ACCESS,Cisco,ASA,unknown,unknown,64860,10.0.207.28,,10.0.207.28,,default,,No,,N/A,N/A,N/A
