Device,FQN,Vendor,OS,"OS Version",Model,"Management Address",Source,"Command Files"
0010.e0be.f2d5,0010.e0be.f2d5,unknown,unknown,unknown,unknown,unknown,lldp,0
0010.e0be.f335,0010.e0be.f335,unknown,unknown,unknown,unknown,unknown,lldp,0
0025.90bd.6f02,0025.90bd.6f02,unknown,unknown,unknown,unknown,unknown,lldp,0
0026fdf12e34,0026fdf12e34,unknown,unknown,unknown,SIP100,172.27.33.57,cdp,0
0026fdf12fe9,0026fdf12fe9,unknown,unknown,unknown,SIP100,172.27.48.202,cdp,0
0026fdf153f0,0026fdf153f0,unknown,unknown,unknown,SIP100,172.27.24.251,cdp,0
0026fdf15531,0026fdf15531,unknown,unknown,unknown,SIP100,172.27.65.231,cdp,0
0026fdf1561f,0026fdf1561f,unknown,unknown,unknown,SIP100,172.27.9.60,cdp,0
0026fdf15853,0026fdf15853,unknown,unknown,unknown,SIP100,172.27.65.40,cdp,0
0026fdf1586a,0026fdf1586a,unknown,unknown,unknown,SIP100,172.27.41.165,cdp,0
0026fdf158c6,0026fdf158c6,unknown,unknown,unknown,SIP100,172.27.25.178,cdp,0
0026fdf15944,0026fdf15944,unknown,unknown,unknown,SIP100,172.27.24.92,cdp,0
0026fdf15947,0026fdf15947,unknown,unknown,unknown,SIP100,172.27.17.44,cdp,0
0026fdf1596c,0026fdf1596c,unknown,unknown,unknown,SIP100,172.27.41.160,cdp,0
0026fdf15b62,0026fdf15b62,unknown,unknown,unknown,SIP100,172.27.9.158,cdp,0
0026fdf15c27,0026fdf15c27,unknown,unknown,unknown,SIP100,172.27.24.108,cdp,0
0026fdf15c50,0026fdf15c50,unknown,unknown,unknown,SIP100,172.27.24.19,cdp,0
0026fdf15e88,0026fdf15e88,unknown,unknown,unknown,SIP100,172.27.16.193,cdp,0
0026fdf15e98,0026fdf15e98,unknown,unknown,unknown,SIP100,172.27.25.183,cdp,0
0026fdf15ec4,0026fdf15ec4,unknown,unknown,unknown,SIP100,172.27.25.109,cdp,0
0026fdf16003,0026fdf16003,unknown,unknown,unknown,SIP100,172.27.17.242,cdp,0
0026fdf1602f,0026fdf1602f,unknown,unknown,unknown,SIP100,172.27.9.51,cdp,0
0026fdf1612f,0026fdf1612f,unknown,unknown,unknown,SIP100,172.27.16.225,cdp,0
0026fdf16173,0026fdf16173,unknown,unknown,unknown,SIP100,172.27.25.1,cdp,0
0026fdf161ba,0026fdf161ba,unknown,unknown,unknown,SIP100,172.27.16.163,cdp,0
0026fdf16230,0026fdf16230,unknown,unknown,unknown,SIP100,172.27.9.12,cdp,0
0026fdf162e6,0026fdf162e6,unknown,unknown,unknown,SIP100,172.27.25.139,cdp,0
0026fdf162e9,0026fdf162e9,unknown,unknown,unknown,SIP100,172.27.17.162,cdp,0
0026fdf1635d,0026fdf1635d,unknown,unknown,unknown,SIP100,172.27.25.215,cdp,0
0026fdf16367,0026fdf16367,unknown,unknown,unknown,SIP100,172.27.65.22,cdp,0
0026fdf1647e,0026fdf1647e,unknown,unknown,unknown,SIP100,172.27.32.106,cdp,0
0026fdf87468,0026fdf87468,unknown,unknown,unknown,SIP200,172.27.41.15,cdp,0
0026fdf87477,0026fdf87477,unknown,unknown,unknown,SIP200,172.27.41.223,cdp,0
0026fdf88b35,0026fdf88b35,unknown,unknown,unknown,SIP200,172.27.32.175,cdp,0
00908f601904,00908f601904,unknown,unknown,unknown,420HD_GBE,172.27.33.176,cdp,0
00908f601906,00908f601906,unknown,unknown,unknown,420HD_GBE,172.27.8.104,cdp,0
