Device,Vendor,OS,Model,"OS Version",Tag,VRF,Net,Network
ausydcc1gps101,Cisco,XE,WS-C3850-24XS,16.6.5,SYD,default,49.0100.0025.5065.00,10.0.255.65/32
ausydcc1gps101,Cisco,XE,WS-C3850-24XS,16.6.5,SYD,default,49.0100.0025.5065.00,10.0.255.134/31
ausydcc1gps201,Cisco,XE,WS-C3850-24XS,16.6.5,SYD,default,49.0100.0025.5073.00,10.0.255.73/32
ausydcc1gps201,Cisco,XE,WS-C3850-24XS,16.6.5,SYD,default,49.0100.0025.5073.00,10.0.255.134/31
cnhkgcc2gpr201,Cisco,XE,ASR1001-X,15.5(3)S5,HKG-REGION,default,49.0100.0013.0002.00,10.0.130.2/32
cnhkgcc2gpr201,Cisco,XE,ASR1001-X,15.5(3)S5,HKG-REGION,default,49.0100.0013.0002.00,10.0.159.128/31
cnhkgcc2gps101,Cisco,XE,WS-C3850-24XS,16.6.5,HKG,default,49.0100.0015.9065.00,10.0.159.134/31
cnhkgcc2gps101,Cisco,XE,WS-C3850-24XS,16.6.5,HKG,default,49.0100.0015.9065.00,10.0.159.65/32
cnhkgcc2gps201,Cisco,XE,WS-C3850-24XS,16.6.5,HKG,default,49.0100.0015.9073.00,10.0.159.73/32
cnhkgcc2gps201,Cisco,XE,WS-C3850-24XS,16.6.5,HKG,default,49.0100.0015.9073.00,10.0.159.134/31
inmumcc1gps101,Cisco,XE,WS-C3850-24XS,16.6.4,MUM,default,49.0100.0023.9065.00,10.0.239.134/31
inmumcc1gps101,Cisco,XE,WS-C3850-24XS,16.6.4,MUM,default,49.0100.0023.9065.00,10.0.239.65/32
inmumcc2gps201,Cisco,XE,WS-C3850-24XS,16.6.4,MUM,default,49.0100.0023.9073.00,10.0.239.73/32
inmumcc2gps201,Cisco,XE,WS-C3850-24XS,16.6.4,MUM,default,49.0100.0023.9073.00,10.0.239.134/31
sesthcc3gpr001,Cisco,XE,ASR1006,16.6.7,STH-REGION,default,49.0100.0000.2002.00,10.0.15.8/31
sesthcc3gpr001,Cisco,XE,ASR1006,16.6.7,STH-REGION,default,49.0100.0000.2002.00,10.0.2.2/32
sesthcc3ler004,Cisco,XE,ASR1002,15.5(3)S6b,,default,49.0001.0102.4700.1022.00,10.247.1.22/32
sesthcc3ler004,Cisco,XE,ASR1002,15.5(3)S6b,,default,49.0001.0102.4700.1022.00,10.247.0.236/30
sesthcc3ler004,Cisco,XE,ASR1002,15.5(3)S6b,,default,49.0001.0102.4700.1022.00,10.247.0.232/30
