name,category,strucBreaks
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]process-instance,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__restart-count,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__community-entry-count,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__community-memory,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__extended-community-entrydefault,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__extended-community-memordefault,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__pe-distinguisher-label-edefault,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__pe-distinguisher-label-mdefault,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__pta-entry-count,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__pta-memory,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__tunnel-encap-entry-countdefault,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__tunnel-encap-memory,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__ribrnh-entry-count,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__ribrnh-memory,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__ppmp-entry-count,Constant Slopes,
Cisco-IOS-XR-ipv4-bgp-oper:bgp/instances/instance/instance-active/default-vrf/process-info[instance-name:default]global__ppmp-memory,Constant Slopes,
